binary,log_path,io_rw,io_meta,net_total,net_ipv4,net_ipv6,net_unix,mem_mgmt,process_create,execve,priv_ctrl,errno_total,errno_perm,errno_enoent,touch_sensitive,w_x_transition,uses_unlink,duration,rate_cps,err_rate,net_ratio
chmod.strace,strace_logs/chmod.strace.log,11.0,19.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009027957916259766,5317.816986214546,0.0,0.0
choom.strace,strace_logs/choom.strace.log,11.0,19.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.012105941772460938,3965.9951158027416,0.0,0.0
chown.strace,strace_logs/chown.strace.log,11.0,19.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.010445117950439453,4596.448345126683,0.0,0.0
chrt.strace,strace_logs/chrt.strace.log,11.0,19.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.013740062713623047,3494.433836543467,0.0,0.0
chsh.strace,strace_logs/chsh.strace.log,74.0,201.0,14.0,0.0,0.0,7.0,177.0,5.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.12669801712036133,3876.356624828287,0.0,0.06511627906976744
cksum.strace,strace_logs/cksum.strace.log,7.0,15.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.017086029052734375,2342.093994195133,0.0,0.0
classifier_tester.strace,strace_logs/classifier_tester.strace.log,32.0,89.0,0.0,0.0,0.0,0.0,166.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13100004196166992,2199.472578232209,0.0,0.0
clear.strace,strace_logs/clear.strace.log,9.0,20.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.012459993362426758,4094.1000937601652,0.0,0.0
clear_console.strace,strace_logs/clear_console.strace.log,7.0,13.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009990930557250977,4004.6310702780097,0.0,0.0
clinfo.strace,strace_logs/clinfo.strace.log,8.0,15.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01369786262512207,3651.2045149948653,0.0,0.0
cluster.strace,strace_logs/cluster.strace.log,13.0,29.0,0.0,0.0,0.0,0.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.016440868377685547,5900.9316685518725,0.0,0.0
cmake.strace,strace_logs/cmake.strace.log,51.0,161.0,0.0,0.0,0.0,0.0,276.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1186380386352539,4122.780886005739,0.0,0.0
cmp.strace,strace_logs/cmp.strace.log,15.0,19.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015276908874511719,3535.746488544853,0.0,0.0
